image_index,label,recall@1,recall@5,recall@10,recall@20
2035,43,0.0,0.0202,0.06061,0.12121
2036,43,0.0,0.0202,0.05051,0.09091
2037,43,0.0101,0.05051,0.08081,0.16162
2038,43,0.0101,0.05051,0.10101,0.20202
2039,43,0.0101,0.05051,0.10101,0.20202
2040,43,0.0101,0.0404,0.07071,0.12121
2041,43,0.0101,0.05051,0.10101,0.20202
2042,43,0.0101,0.05051,0.10101,0.19192
2043,43,0.0101,0.05051,0.10101,0.20202
2044,43,0.0101,0.05051,0.09091,0.18182
2045,43,0.0101,0.05051,0.10101,0.20202
2046,43,0.0101,0.05051,0.10101,0.20202
2047,43,0.0101,0.05051,0.10101,0.20202
2048,43,0.0101,0.05051,0.10101,0.20202
2049,43,0.0101,0.05051,0.10101,0.20202
2050,43,0.0101,0.05051,0.10101,0.20202
2051,43,0.0101,0.05051,0.10101,0.20202
2052,43,0.0101,0.05051,0.10101,0.19192
2053,43,0.0101,0.05051,0.10101,0.20202
2054,43,0.0101,0.05051,0.10101,0.17172
2055,43,0.0101,0.05051,0.10101,0.20202
2056,43,0.0101,0.05051,0.10101,0.20202
2057,43,0.0101,0.05051,0.09091,0.14141
2058,43,0.0101,0.05051,0.10101,0.20202
2059,43,0.0101,0.05051,0.10101,0.20202
2060,43,0.0101,0.0404,0.09091,0.14141
2061,43,0.0101,0.05051,0.10101,0.20202
2062,43,0.0101,0.05051,0.10101,0.19192
2063,43,0.0101,0.05051,0.10101,0.16162
2064,43,0.0101,0.05051,0.10101,0.20202
2065,43,0.0101,0.05051,0.09091,0.17172
2066,43,0.0101,0.05051,0.10101,0.19192
2067,43,0.0,0.0101,0.0202,0.0303
2068,43,0.0101,0.05051,0.10101,0.20202
2069,43,0.0101,0.05051,0.10101,0.20202
2070,43,0.0101,0.05051,0.10101,0.20202
2071,43,0.0101,0.05051,0.10101,0.20202
2072,43,0.0101,0.0404,0.09091,0.18182
2073,43,0.0101,0.05051,0.10101,0.20202
2074,43,0.0101,0.05051,0.09091,0.14141
2075,43,0.0101,0.05051,0.10101,0.19192
2076,43,0.0101,0.05051,0.10101,0.20202
2077,43,0.0101,0.05051,0.09091,0.19192
2078,43,0.0101,0.05051,0.10101,0.20202
2079,43,0.0101,0.05051,0.10101,0.18182
2080,43,0.0101,0.05051,0.10101,0.19192
2081,43,0.0101,0.0404,0.08081,0.14141
2082,43,0.0101,0.05051,0.09091,0.16162
2083,43,0.0101,0.0303,0.08081,0.15152
2084,43,0.0101,0.05051,0.10101,0.20202
2085,43,0.0101,0.05051,0.10101,0.20202
2086,43,0.0101,0.05051,0.10101,0.20202
2087,43,0.0101,0.05051,0.10101,0.20202
2088,43,0.0101,0.05051,0.10101,0.20202
2089,43,0.0101,0.05051,0.10101,0.20202
2090,43,0.0101,0.05051,0.09091,0.18182
2091,43,0.0101,0.05051,0.10101,0.19192
2092,43,0.0101,0.0404,0.07071,0.12121
2093,43,0.0101,0.0404,0.07071,0.11111
2094,43,0.0101,0.05051,0.10101,0.20202
2095,43,0.0101,0.05051,0.10101,0.18182
2096,43,0.0101,0.05051,0.10101,0.19192
2097,43,0.0101,0.05051,0.08081,0.14141
2098,43,0.0101,0.05051,0.10101,0.20202
2099,43,0.0101,0.05051,0.10101,0.20202
2100,43,0.0101,0.05051,0.10101,0.18182
2101,43,0.0101,0.05051,0.10101,0.20202
2102,43,0.0101,0.05051,0.10101,0.18182
2103,43,0.0101,0.0404,0.08081,0.16162
2104,43,0.0101,0.05051,0.10101,0.20202
2105,43,0.0101,0.05051,0.08081,0.16162
2106,43,0.0101,0.05051,0.10101,0.20202
2107,43,0.0101,0.05051,0.10101,0.20202
2108,43,0.0101,0.05051,0.10101,0.20202
2109,44,0.01389,0.06944,0.13889,0.27778
2110,44,0.01389,0.06944,0.13889,0.27778
2111,44,0.01389,0.06944,0.13889,0.27778
2112,44,0.01389,0.06944,0.13889,0.27778
2113,44,0.01389,0.06944,0.13889,0.27778
2114,44,0.01389,0.06944,0.13889,0.27778
2115,44,0.01389,0.06944,0.13889,0.27778
2116,44,0.01389,0.06944,0.13889,0.27778
2117,44,0.01389,0.06944,0.13889,0.27778
2118,44,0.01389,0.06944,0.13889,0.27778
2119,44,0.01389,0.06944,0.13889,0.27778
2120,44,0.01389,0.06944,0.13889,0.27778
2121,44,0.01389,0.06944,0.13889,0.27778
2122,44,0.01389,0.06944,0.13889,0.27778
2123,44,0.01389,0.06944,0.13889,0.27778
2124,44,0.01389,0.06944,0.13889,0.27778
